Reference,Qty,Value,Produktnummern,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Bestelllink (falls nicht Würth)
"C1,C4,C6,C8,C12,C16",6,0.1µF,885012207072,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
"C2,C5",2,15pF,885012007029,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
C3,1,0.68µF,885012207077,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
C7,1,1µF,885012207078,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
"C9,C14,C17",3,10nF,885012207066,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
"C10,C11",2,"0.22µF, 60V",885012007059,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
"C13,C15",2,70pF,885012007033,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
"D3,D4,D5,D6",4,green,150080GS75000,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,
J1,1,Screw_Terminal_01x02,691210910002,,,,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",~,
J2,1,Conn_01x01_Pin,61300111121,,,,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,
JP1,1,Jumper 3.3V PWR,61300211121,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
JP2,1,Generic SPI,61300211121,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
JP3,1,TX2P4_EN,61300211121,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
JP4,1,SWPD_EN,61300211121,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
JP5,1,MS_SEL,61300211121,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
R1,1,100,560112120020,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
"R2,R15",2,100k,560112120013,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
R3,1,10k,560112120004,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
"R4,R5,R9,R14",4,4.7k,560112120030,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
R6,1,1.5k (Änderung auf 1.8k),560112120022,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
"R7,R8",2,10.2k (10k),560112120004,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
"R10,R13",2,"49,9 (Bauform 0603)",560112116133,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
"R11,R12",2,5.1k (Änderung auf 4.99k und 0603),560112116132,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
"R16,R17,R18,R19",4,1k,560112120027,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
SW1,1,RESET Taster,430156043726,,,,Button_Switch_THT:SW_PUSH_6mm,~,
T1,1,Trenntrafo,749070010,,,,Transformer_SMD_Wurth:T_Wurth_WE-SPE_749070010,https://www.we-online.com/catalog/datasheet/749070010.pdf?ki,
U1,1,DEVKIT_V1_ESP32-WROOM-32,,,,,DEVKIT_V1_ESP32-WROOM-32:MODULE_DEVKIT_V1_ESP32-WROOM-32,,https://www.az-delivery.de/en/products/esp32-nodemcu-module-wlan-wifi-dev-kit-c-development-board-mit-cp2102-und-usb-c-anschluss-esp-32-esp32-wroom-32-kompatibel-mit-arduino?variant=46038922330379
U2,1,Adin1110,584-ADIN1110BCPZ ,,,,ADIN1110:LFCSP-40,https://www.analog.com/ADIN1110/datasheet,https://www.mouser.de/ProductDetail/Analog-Devices/ADIN1110BCPZ?qs=iLbezkQI%252BshSlgId2g%2Ft9w%3D%3D
U3,1,TVS_Diode_8240136,8240136,,,,TVS_Diode:TVS_Diode_8240136,https://www.we-online.com/components/products/datasheet/8240136.pdf,
Y2,1,CFPX-180_830105863709 Quartz,830105863709,,,,Crystal_SMD_Wurth:Y_Wurth_WE-XTAL_Quartz-CFPX-180,https://www.we-online.com/catalog/datasheet/830105863709.pdf?ki,
